television_cable,wifi,seche_cheveux,monoxyde_carbone_detect,salle_sport,fer_repasser,parking_sur-place,extincteur,Climatisation,Jacuzzi,machine_laver,Capacite_accueil,NbChambres,frais_menage,Caution,frais_menage,seche_linge,cheminee_interieur,pourEnfants_famille,Piscine,NbLits,television,PrixNuitee,Latitude,Longitude
0,1,0,0,0,0,0,0,0,0,1,4,2,20,300,20,1,0,1,0,0,1,96.55947540806142,44.8384243166,-0.574782613
0,1,0,0,0,0,0,0,0,0,1,8,0,30,1000,30,0,0,1,0,0,0,102.00077324131331,44.8242233295,-0.5755756899
0,1,0,0,0,0,0,0,0,0,1,4,2,0,800,0,1,0,0,0,2,1,106.60198121873061,44.8400010048,-0.5766715817
0,0,1,0,0,1,0,1,0,0,1,6,3,0,0,0,1,0,1,0,0,0,114.734967918609,44.8344634722,-0.5683534789
0,1,0,0,0,0,0,0,0,0,1,2,0,0,100,0,0,0,0,0,1,1,34.71217558270398,44.8524513081,-0.5849089741
0,1,1,0,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,1,60.5647942250805,44.8477031182,-0.5860454034
0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,1,0,37.91202992843705,44.8363477108,-0.5721741528
0,1,1,0,0,1,0,0,0,0,1,4,1,0,200,0,0,0,0,0,0,0,59.830638566688094,44.8326904172,-0.5740499995
1,1,1,1,0,1,1,0,0,0,1,6,2,55,500,55,1,0,1,1,3,1,132.68567199293796,44.8393451437,-0.5543502825
0,1,0,0,0,0,0,0,0,0,1,2,0,0,500,0,0,0,0,0,0,0,38.460885783927246,44.8427178643,-0.5718085311
0,1,1,1,0,1,0,0,1,0,1,4,1,35,300,35,1,0,1,0,0,1,95.95497601116932,44.838913468,-0.5712664812
0,1,1,0,0,1,1,0,1,0,1,4,2,50,600,50,0,0,1,0,2,1,104.87116237510895,44.8415497416,-0.5443253029
0,1,1,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,1,41.65003994010294,44.8529109283,-0.6189715235
0,0,1,0,0,0,0,0,0,0,1,3,1,0,300,0,0,0,0,0,0,1,67.5737161482453,44.8382754851,-0.6067222098
0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,39.60348424688004,44.8418008947,-0.614448573
0,1,0,0,0,0,0,0,0,0,1,4,1,25,0,25,0,1,1,0,0,0,63.18672904105513,44.8467104662,-0.5878021091
0,1,1,0,0,1,0,0,0,0,1,7,3,50,500,50,0,1,1,0,0,1,139.91402116915816,44.8317533113,-0.5720594389
0,1,0,0,0,1,0,0,0,0,0,2,0,0,300,0,0,0,1,0,0,1,38.55600058963327,44.8307579695,-0.5764733738
0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,2,1,55.97963765789147,44.8287440022,-0.5768233181
0,1,1,0,0,1,0,0,1,0,1,4,1,0,350,0,0,0,1,0,0,1,78.51592628904197,44.8397585273,-0.5806357071
0,1,0,0,0,0,0,0,0,0,0,4,1,0,300,0,0,0,1,0,2,0,63.47478711813498,44.8247802098,-0.5524325329
0,1,1,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,41.488598081753544,44.8253758555,-0.5895955925
0,1,1,0,0,1,1,0,0,0,1,6,2,0,0,0,1,0,1,0,3,1,93.12982621824146,44.8394547719,-0.5688034649
0,1,1,0,0,0,1,0,0,0,0,2,0,5,0,5,0,0,0,0,0,1,32.707706492039186,44.82334089,-0.5671030513
0,1,1,0,0,0,0,0,0,0,0,9,3,70,800,70,0,0,1,0,4,1,166.6504238529838,44.8396326414,-0.5867653055
0,1,0,0,0,0,1,0,0,0,1,4,2,0,0,0,0,0,1,0,0,1,70.93888210381277,44.8632321844,-0.577455402
1,1,1,1,0,1,0,1,0,0,1,8,3,0,0,0,1,0,0,0,0,1,142.1604786332591,44.8401622564,-0.5841703879
1,1,0,0,0,0,0,0,0,0,1,4,2,15,0,15,0,0,1,0,2,1,82.19102379853685,44.8225536628,-0.5614289376
